EmploymentTypeID,Type
235,Full-time
236,Part-time
237,Contract
238,""
239,Full-time
240,Full-time
241,Full-time
242,Contract
243,Full-time
244,Contract
245,Contract
246,Contract
247,Part-time
248,""
249,Part-time
250,""
251,Part-time
252,Full-time
253,Full-time
254,""
255,Full-time
256,Contract
257,""
258,""
259,Contract
260,Part-time
261,Part-time
262,Part-time
263,""
264,Full-time
265,Contract
266,Full-time
267,Part-time
268,Part-time
269,Full-time
270,Contract
271,Full-time
272,Full-time
273,""
274,Part-time
275,Part-time
276,Part-time
277,Contract
278,""
279,""
280,Contract
281,Part-time
282,""
283,Part-time
284,Full-time
285,Contract
286,Part-time
287,Part-time
288,""
289,""
290,""
291,Full-time
292,Contract
293,""
294,Full-time
295,Part-time
296,Contract
297,Part-time
298,""
299,Contract
300,Contract
301,Full-time
302,Contract
303,Full-time
304,Part-time
305,Part-time
306,""
307,Contract
308,Full-time
309,""
310,Full-time
311,Part-time
312,Contract
313,Contract
314,""
315,Part-time
316,Contract
317,Part-time
318,Contract
319,""
320,Contract
321,Part-time
322,Full-time
323,Part-time
324,Full-time
325,""
326,Part-time
327,Full-time
328,Contract
329,Part-time
330,""
331,Part-time
332,""
333,Contract
334,Full-time
335,Contract
336,""
337,Full-time
338,Contract
339,Part-time
340,Part-time
341,Contract
342,""
343,""
344,Full-time
345,""
346,""
347,""
348,Full-time
349,Full-time
350,Contract
351,Contract
352,Full-time
353,Contract
354,Full-time
355,Full-time
356,""
357,Part-time
358,Full-time
359,Contract
360,Part-time
361,Part-time
362,""
363,Part-time
364,Part-time
365,Part-time
366,Part-time
367,Contract
368,Part-time
369,""
370,Full-time
371,""
372,""
373,Contract
374,""
375,""
376,Part-time
377,Full-time
378,""
379,Part-time
380,Contract
381,Part-time
382,Contract
383,Part-time
384,""
385,Full-time
386,Full-time
387,Full-time
388,Contract
389,Full-time
390,Full-time
391,""
392,Full-time
393,Contract
394,Contract
395,Part-time
396,""
397,Part-time
398,Part-time
399,""
400,""
401,Full-time
402,""
403,Part-time
404,""
405,Part-time
406,Full-time
407,Full-time
408,""
409,""
410,Full-time
411,""
412,""
413,Full-time
414,""
415,Part-time
416,""
417,Full-time
418,Full-time
419,Contract
420,Part-time
421,Contract
422,Contract
423,""
424,Full-time
425,""
426,Contract
427,Part-time
428,Part-time
429,Full-time
430,Contract
431,Full-time
432,Full-time
433,Full-time
434,Part-time
435,Full-time
436,Part-time
437,Part-time
438,Part-time
439,Part-time
440,""
441,""
442,Contract
443,Contract
444,Full-time
445,Contract
446,Full-time
447,Contract
448,Contract
449,Full-time
450,Part-time
451,Part-time
452,Full-time
453,Full-time
454,Part-time
455,Full-time
456,Full-time
457,Part-time
458,Full-time
459,Part-time
460,Contract
461,Part-time
462,Full-time
463,Part-time
464,""
465,Part-time
466,Part-time
467,Part-time
468,Contract
469,Part-time
470,Full-time
471,""
472,""
473,Contract
474,""
475,""
476,Part-time
477,""
478,Contract
479,""
480,Full-time
481,Contract
482,Contract
483,Contract
484,Part-time
485,Contract
486,Contract
487,Full-time
488,Contract
489,Contract
490,Part-time
491,""
492,""
493,Full-time
494,Full-time
495,""
496,""
497,Part-time
498,Part-time
499,""
500,Part-time
